Linux 6.8.0-71-generic (node2.kvsrun.utah-cs6450-pg0.utah.cloudlab.us) 	09/06/2025 	_x86_64_	(16 CPU)

02:02:44 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
02:02:45 AM     all      5.62      0.00      3.28      0.00      0.00     91.10
02:02:46 AM     all     47.57      0.00     38.38      0.00      0.00     14.05
02:02:47 AM     all     47.91      0.00     39.50      0.00      0.00     12.59
02:02:48 AM     all     46.29      0.00     37.72      0.06      0.00     15.92
02:02:49 AM     all     45.43      0.00     35.77      0.00      0.00     18.79
02:02:50 AM     all     45.30      0.00     35.83      0.00      0.00     18.87
02:02:51 AM     all     45.65      0.00     36.70      0.00      0.00     17.65
02:02:52 AM     all     48.33      0.00     36.76      0.00      0.00     14.91
02:02:53 AM     all     47.77      0.00     37.71      0.00      0.00     14.52
02:02:54 AM     all     46.14      0.00     36.70      0.00      0.00     17.16
02:02:55 AM     all     45.91      0.00     34.89      0.00      0.00     19.20
02:02:56 AM     all     45.54      0.00     36.05      0.00      0.00     18.41
02:02:57 AM     all     46.36      0.00     35.68      0.00      0.00     17.97
02:02:58 AM     all     44.52      0.00     34.66      0.00      0.00     20.82
02:02:59 AM     all     43.15      0.00     34.30      0.00      0.00     22.55
02:03:00 AM     all     43.89      0.00     36.07      0.00      0.00     20.04
02:03:01 AM     all     47.11      0.00     36.21      0.00      0.00     16.68
02:03:02 AM     all     47.73      0.00     35.36      0.00      0.00     16.91
02:03:03 AM     all     47.10      0.00     35.96      0.00      0.00     16.93
02:03:04 AM     all     43.62      0.00     33.57      0.00      0.00     22.81
02:03:05 AM     all     45.96      0.00     34.23      0.00      0.00     19.81
02:03:06 AM     all     43.44      0.00     35.22      0.00      0.00     21.34
02:03:07 AM     all     45.12      0.00     35.04      0.00      0.00     19.83
02:03:08 AM     all     46.33      0.00     34.79      0.00      0.00     18.88
02:03:09 AM     all     42.20      0.00     35.00      0.00      0.00     22.80
02:03:10 AM     all     45.40      0.00     33.74      0.00      0.00     20.85
02:03:11 AM     all     46.01      0.00     34.06      0.00      0.00     19.94
02:03:12 AM     all     42.58      0.00     33.98      0.00      0.00     23.44
02:03:13 AM     all     30.87      0.00     24.69      0.00      0.00     44.44
02:03:14 AM     all      0.12      0.00      0.06      0.00      0.00     99.81
Average:        all     42.24      0.00     33.02      0.00      0.00     24.74
