Linux 6.8.0-71-generic (node1.kvsrun.utah-cs6450-pg0.utah.cloudlab.us) 	09/06/2025 	_x86_64_	(16 CPU)

02:02:44 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
02:02:45 AM     all      6.08      0.00      3.74      0.00      0.00     90.18
02:02:46 AM     all     48.33      0.00     38.11      0.00      0.00     13.56
02:02:47 AM     all     47.66      0.00     40.14      0.00      0.00     12.20
02:02:48 AM     all     45.62      0.00     37.50      0.00      0.00     16.88
02:02:49 AM     all     48.02      0.00     37.98      0.00      0.00     14.00
02:02:50 AM     all     46.25      0.00     37.40      0.00      0.00     16.36
02:02:51 AM     all     47.46      0.00     36.40      0.00      0.00     16.14
02:02:52 AM     all     47.75      0.00     37.68      0.00      0.00     14.57
02:02:53 AM     all     46.73      0.00     37.02      0.00      0.00     16.25
02:02:54 AM     all     46.95      0.00     35.76      0.00      0.00     17.30
02:02:55 AM     all     45.78      0.00     35.59      0.00      0.00     18.63
02:02:56 AM     all     45.24      0.00     37.00      0.00      0.00     17.76
02:02:57 AM     all     45.32      0.00     35.90      0.00      0.00     18.78
02:02:58 AM     all     45.24      0.00     34.87      0.00      0.00     19.90
02:02:59 AM     all     46.36      0.00     36.06      0.00      0.00     17.58
02:03:00 AM     all     47.40      0.00     35.20      0.00      0.00     17.41
02:03:01 AM     all     49.06      0.00     37.31      0.00      0.00     13.62
02:03:02 AM     all     48.69      0.00     36.78      0.00      0.00     14.53
02:03:03 AM     all     46.71      0.00     35.23      0.00      0.00     18.07
02:03:04 AM     all     44.66      0.00     32.88      0.00      0.00     22.46
02:03:05 AM     all     44.17      0.00     35.07      0.00      0.00     20.76
02:03:06 AM     all     46.13      0.00     35.93      0.00      0.00     17.93
02:03:07 AM     all     44.51      0.00     34.71      0.00      0.00     20.78
02:03:08 AM     all     46.49      0.00     35.45      0.00      0.00     18.05
02:03:09 AM     all     44.67      0.00     34.58      0.00      0.00     20.75
02:03:10 AM     all     43.14      0.00     35.71      0.00      0.00     21.15
02:03:11 AM     all     45.11      0.00     33.44      0.00      0.00     21.45
02:03:12 AM     all     45.46      0.00     34.14      0.00      0.00     20.40
02:03:13 AM     all     29.79      0.00     23.86      0.00      0.00     46.36
02:03:14 AM     all      1.07      0.00      0.75      0.06      0.00     98.12
Average:        all     42.80      0.00     33.36      0.00      0.00     23.83
